DST0403*15  X220   0 -31 -28 -28 -27 -29 -28 -23 -21 -20 -23 -22 -24 -23 -20 -14 -16 -21 -22 -28 -27 -18 -24 -25 -27 -24
DST0403*16  X220   0 -23 -24 -22 -20 -20 -24 -23 -16 -11 -10 -11 -14 -14 -17 -18 -14 -16 -13 -10 -12 -20 -23 -27 -27 -18
DST0403*17  X220   0 -27 -26 -21 -18 -22 -24 -20 -14 -10 -10 -12 -16 -16 -15 -12 -10  -8  -7  -8 -11 -14 -18 -18 -16 -16
DST0403*18  X220   0 -22 -22 -23 -25 -27 -25 -27 -26 -22 -19 -15 -15 -15 -16 -17 -16 -17 -15 -16 -22 -28 -26 -17 -13 -20
DST0403*19  X220   0 -13 -16 -17 -13 -14 -15 -14  -8  -2  -1  -1  -5  -6  -8  -9  -9  -8 -10 -10  -7  -6   0   3   3  -8
DST0403*20  X220   0   3  -2 -13 -15 -13  -9  -7  -4  -3  -3  -2   0  -1  -3   1  -1  -8  -6  -5 -11 -16 -18 -15 -11  -7
DST0403*21  X220   0 -10 -10  -6  -5  -5  -5  -5  -6  -3  -5  -4 -12 -19 -17 -12 -10 -14 -16 -15 -13 -12 -12  -8  -6 -10
DST0403*22  X220   0  -3  -6 -12 -11 -11  -7 -10  -9  -5  -6  -4  -5  -8  -8  -7  -7  -6  -6  -5  -6 -11 -13 -18 -24  -9
DST0403*23  X220   0 -24 -19 -14 -11  -9 -11 -12  -9  -5  -5  -5  -2  -1  -1   0  -1  -2  -3  -7 -10  -8  -9 -10 -10  -8
DST0403*24  X220   0  -6  -3  -5   0  -1  -1  -2   2   4   4   4   3   2   2   1   1   1   3   8   8   9  10   9  11   3
DST0403*25  X220   0  13  10   9  10  11  11  13  13  13  10  11  14  15  17  16  17  16  13   5   5   9  15  14  12  12
DST0403*26  X220   0  14  15  11  12  12  13  13  14  13   8   6   8   9   0  -9 -15 -12  -9  -3  -6 -13 -10  -6  -6   2
