Note: All timestamps are UT, and refer to the start of the time period.
year           : Integer Year of observation. Timestamp marks beginning of interval (years), Fill= -9999.9
day            : Integer Day of Year of observation (starting from 1). Timestamp marks beginning of interval (days), Fill= -9999.9
hr             : Hour of day of observation (starting from 0). Timestamp marks beginning of interval (hours), Fill= -9999.9
min            : Minute of hour of observation (starting from 0). Timestamp marks beginning of interval (minutes), Fill= -9999.9
sec            : Second of minute of observation. Timestamp marks beginning of interval (seconds), Fill= -9999.9
fp_year        : Fractional Year of observation. Timestamp marks beginning of interval (years), Fill= -9999.9
fp_doy         : Fractional Day of Year of observation. Timestamp marks beginning of interval (days), Fill= -9999.9
ACEepoch       : Epoch of observation - seconds since 00:00:00UT on Jan 1 1996. Timestamp marks beginning of interval (seconds), Fill= -9999.9
proton_density : Solar Wind Proton Number Density, scalar  (cm^-3 ), Fill= -9999.9 
proton_temp    : radial component of the proton temperature  (Kelvin ), Fill= -9999.9 
He4toprotons   : alpha to proton density ratio  (Ratio), Fill= -9999.9 
proton_speed   : Solar Wind Bulk Speed  (km/s ), Fill= -9999.9 
x_dot_GSE      : X-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
y_dot_GSE      : Y-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
z_dot_GSE      : Z-component of Solar Wind Velocity in GSE cartesian coordinates, 64-second average (km/s ), Fill= -9999.9 
2004   6 15  0  0.000      2.506  1.2254e+05    0.0170    576.63   -575.02    -15.16     12.93 
2004   6 16  0  0.000      3.128  1.2210e+05    0.0179    606.28   -602.30    -68.78      2.88 
2004   6 17  0  0.000      3.050  1.1813e+05    0.0184    578.46   -575.88    -46.18     15.54 
2004   6 18  0  0.000      2.769  1.2257e+05    0.0178    567.33   -565.44    -40.84    -12.62 
2004   6 19  0  0.000      4.361  1.6058e+05    0.0186    633.23   -626.91    -83.40    -21.21 
2004   6 20  0  0.000      5.427  2.5929e+05    0.0228    629.57   -620.68    -62.69     62.93 
2004   6 21  0  0.000      5.815  2.5067e+05    0.0248    623.51   -611.56    -92.89     62.67 
2004   6 22  0  0.000      5.098  2.1761e+05 -9999.9004    630.99   -623.73    -71.72     45.92 
2004   6 23  0  0.000      1.749  4.8876e+05    0.0030    739.76   -738.07    -33.81    -28.25 
2004   7  0  0  0.000      2.541  4.5523e+05    0.0038    710.67   -710.06    -21.83    -12.19 
2004   7  1  0  0.000      2.706  3.9269e+05    0.0051    692.25   -691.61    -26.04      1.60 
2004   7  2  0  0.000      2.555  4.4619e+05    0.0042    712.33   -711.33    -38.82     21.89 
2004   7  3  0  0.000      2.285  5.1782e+05    0.0042    723.38   -721.19    -50.58      7.34 
2004   7  4  0  0.000      2.813  5.0959e+05    0.0060    718.92   -715.09    -68.99     14.97 
